Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Filter Element/Data.Vector.Storable:1,9.044902598639801e-5,9.038341252854945e-5,9.050412849650756e-5,2.0048852313002348e-7,1.638520298524523e-7,2.6694307525049826e-7
Filter Element/Data.Sequence:1,2.3303498449619143e-4,2.327589543368757e-4,2.3337901253979454e-4,1.0224645672454842e-6,8.211291823437858e-7,1.3169734772110316e-6
Filter Element/Data.List:100,9.18107750912463e-5,9.173772064455756e-5,9.187209017999949e-5,2.2113894474416579e-7,1.809775112783964e-7,2.8664937180211356e-7
Filter Element/Data.Vector:100,8.34586299926876e-5,8.340310559985e-5,8.353001451678531e-5,2.243068747996171e-7,1.8871715584476794e-7,2.955921303086546e-7
Filter Element/Data.Vector.Unboxed:100,5.3351101696958016e-5,5.33104753140515e-5,5.3468600015201116e-5,2.115848725739558e-7,9.390901589468942e-8,4.088102038175372e-7
Filter Element/Data.Vector.Storable:100,9.050808791002653e-5,9.04466109182571e-5,9.05600539539727e-5,1.941834679277341e-7,1.4806916642420002e-7,2.456377521810001e-7
Filter Element/Data.Sequence:100,2.3342529323026355e-4,2.331799994969946e-4,2.3371172984258085e-4,8.807170135453454e-7,7.354524299251517e-7,1.0652900431830216e-6
Filter Element/Data.List:1000,9.173492229834956e-5,9.166534952445363e-5,9.178867439611553e-5,2.0256441039325722e-7,1.6421365774929936e-7,2.554596692768314e-7
Filter Element/Data.Vector:1000,8.343485535658928e-5,8.33716361972678e-5,8.348726312896285e-5,2.089649286014694e-7,1.7228191337956212e-7,2.4853969476991936e-7
Filter Element/Data.Vector.Unboxed:1000,5.332274506035224e-5,5.32881116223677e-5,5.33534877605771e-5,1.1122845481333778e-7,9.102302060410173e-8,1.4146886216779462e-7
Filter Element/Data.Vector.Storable:1000,9.035863148384581e-5,9.029412324611683e-5,9.040886868932333e-5,1.8851090673063253e-7,1.4890756398626846e-7,2.460398990080824e-7
Filter Element/Data.Sequence:1000,2.336388015539702e-4,2.3345106748845035e-4,2.3385866802023799e-4,6.983730208937789e-7,5.642130751472842e-7,8.368003166072677e-7
Filter Element/Data.List:10000,9.178045688817752e-5,9.171315890166795e-5,9.183846869951832e-5,2.1490238966492238e-7,1.6144688932122546e-7,2.7563502772844644e-7
Filter Element/Data.Vector:10000,8.354698000160937e-5,8.350028153974482e-5,8.36464291864821e-5,2.2707370879840107e-7,1.3554131852938868e-7,4.069966006842798e-7
Filter Element/Data.Vector.Unboxed:10000,5.3283558268942926e-5,5.324212445967386e-5,5.331991444746962e-5,1.3056020615098535e-7,1.046103561638509e-7,1.7020618214451984e-7
Filter Element/Data.Vector.Storable:10000,9.04362447305677e-5,9.037232176729397e-5,9.048666094235364e-5,2.0050087847170617e-7,1.63274022687502e-7,2.872980456123095e-7
Filter Element/Data.Sequence:10000,2.57823433922633e-4,2.5739591553246613e-4,2.581612562361596e-4,1.3358473403954316e-6,1.006371345247458e-6,1.8599786435697308e-6
Filter By Index/Data.Vector:1,1.4829955487864757e-4,1.4819713454223085e-4,1.4838506584821976e-4,3.2130123298379025e-7,2.678136959287747e-7,4.0045813547685275e-7
Filter By Index/Data.Vector.Unboxed:1,5.777352676629843e-5,5.774052505278398e-5,5.7811089510630644e-5,1.2225200020396175e-7,1.0148084091412798e-7,1.62840281594475e-7
Filter By Index/Data.Vector.Storable:1,8.81545490192067e-5,8.809470154397561e-5,8.820666290308438e-5,1.840210355616067e-7,1.5060095026331352e-7,2.2617010707352837e-7
Filter By Index/Data.Vector:100,1.4821044942503635e-4,1.4813514694379129e-4,1.4828981512634282e-4,2.6039366964130557e-7,2.2787943986001926e-7,3.004876482153153e-7
Filter By Index/Data.Vector.Unboxed:100,5.781088913715401e-5,5.7771121549253437e-5,5.784813991565058e-5,1.3511318045374742e-7,1.110466965940506e-7,1.8891026843838252e-7
Filter By Index/Data.Vector.Storable:100,8.813709671913864e-5,8.805833892024054e-5,8.819876210788972e-5,2.443140712447562e-7,1.891922311185531e-7,3.077734866873489e-7
Filter By Index/Data.Vector:1000,1.4824284869912238e-4,1.4813942045508314e-4,1.4833388667834758e-4,3.439654068723435e-7,2.6718970621858627e-7,4.707154923434653e-7
Filter By Index/Data.Vector.Unboxed:1000,5.778218204535062e-5,5.773183067635708e-5,5.783514432088978e-5,1.6834231287843816e-7,1.2576286611964616e-7,2.45530910168355e-7
Filter By Index/Data.Vector.Storable:1000,8.846856290238998e-5,8.83340935760792e-5,8.867364911322871e-5,5.360517432645856e-7,3.9487541562099987e-7,6.911041440409705e-7
Filter By Index/Data.Vector:10000,1.4842369947142654e-4,1.4832006625970127e-4,1.485250099254718e-4,3.5748075846017955e-7,2.8822225622442593e-7,4.5052055445342715e-7
Filter By Index/Data.Vector.Unboxed:10000,5.762518656530638e-5,5.7576977026413664e-5,5.767496032385901e-5,1.6720176346312242e-7,1.3267640901220306e-7,2.246308572060693e-7
Filter By Index/Data.Vector.Storable:10000,8.903534024698506e-5,8.881025579007515e-5,8.92366877600351e-5,7.104069970493861e-7,6.459342818303598e-7,7.945240642857701e-7
